time;v;t;i;SOC;bal;chg
07:29:29;50,19;30,0;0;97;0;0
07:29:30;50,19;30,0;0;97;0;0
07:29:33;50,13;30,0;0;97;0;0
07:29:34;50,19;30,0;0;97;0;0
07:29:35;50,19;30,0;0;97;0;0
07:29:40;50,19;30,0;0;97;0;0
07:29:41;50,19;30,0;0;97;0;0
07:29:42;50,19;30,0;0;97;0;0
07:29:43;50,19;30,0;0;97;0;0
07:29:44;50,19;30,0;0;97;0;0
07:29:48;50,19;30,0;0;97;0;0
07:29:52;50,19;30,0;0;97;0;0
07:29:56;50,19;30,0;0;97;0;0
07:29:57;50,19;30,0;0;97;0;0
07:29:58;50,19;30,0;0;97;0;0
07:30:00;50,19;30,0;0;97;0;0
07:30:01;50,19;30,0;0;97;0;0
07:30:12;50,19;30,0;0;97;0;0
07:30:13;50,19;30,0;0;97;0;0
07:30:14;50,19;30,0;0;97;0;0
07:30:15;50,19;30,0;0;97;0;0
07:30:17;50,19;30,0;0;97;0;0
07:30:18;50,19;30,0;0;97;0;0
07:30:20;50,19;30,0;0;97;0;0
07:30:21;50,19;30,0;0;97;0;0
07:30:28;50,19;30,0;0;97;0;0
07:30:31;50,19;30,0;0;97;0;0
07:30:32;50,19;30,0;0;97;0;0
07:30:33;50,19;30,0;0;97;0;0
07:30:34;50,19;30,0;0;97;0;0
07:30:37;50,19;30,0;0;97;0;0
07:30:38;50,13;30,0;0;97;0;0
07:30:39;50,19;30,0;0;97;0;0
07:30:41;50,19;30,0;0;97;0;0
07:30:42;50,13;30,0;0;97;0;0
07:30:43;50,19;30,0;0;97;0;0
07:30:48;50,19;30,0;0;97;0;0
07:30:49;50,19;30,0;0;97;0;0
07:30:51;50,19;30,0;0;97;0;0
07:30:54;50,19;30,0;0;97;0;0
07:31:03;50,19;30,0;0;97;0;0
07:31:05;50,19;30,0;0;97;0;0
07:31:06;50,19;30,0;0;97;0;0
07:31:07;50,19;30,0;0;97;0;0
07:31:09;50,19;30,0;0;97;0;0
07:31:10;50,19;30,0;0;97;0;0
07:31:20;50,19;30,0;0;97;0;0
07:31:21;50,19;30,0;0;97;0;0
07:31:23;50,19;30,0;0;97;0;0
07:31:25;50,19;30,0;0;97;0;0
07:31:32;50,19;30,0;0;97;0;0
07:31:34;50,19;30,0;0;97;0;0
07:31:35;50,19;30,0;0;97;0;0
07:31:36;50,19;30,0;0;97;0;0
07:31:37;50,19;30,0;0;97;0;0
07:31:39;50,19;30,0;0;97;0;0
07:31:40;50,19;30,0;0;97;0;0
07:31:42;50,13;30,0;0;97;0;0
07:31:43;50,19;30,0;0;97;0;0
07:31:45;50,19;30,0;0;97;0;0
07:31:46;50,19;30,0;0;97;0;0
07:31:47;50,19;30,0;0;97;0;0
07:31:48;50,13;30,0;0;97;0;0
07:31:49;50,19;30,0;0;97;0;0
07:31:55;50,19;30,0;0;97;0;0
07:31:56;50,19;30,0;0;97;0;0
07:31:57;50,19;30,0;0;97;0;0
07:31:58;50,19;30,0;0;97;0;0
07:32:01;50,19;30,0;0;97;0;0
07:32:02;50,19;30,0;0;97;0;0
